City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Olafsvik,IS,64.8945,-23.7142,50.4,80,78,16.6,broken clouds
281,Paamiut,GL,61.994,-49.6678,41.56,61,0,4.34,clear sky
282,Hervey Bay,AU,-25.2986,152.8535,74.03,53,98,17.81,overcast clouds
283,Dalby,AU,-27.1833,151.2667,71.98,20,33,4.0,scattered clouds
284,Ca Mau,VN,9.1769,105.15,88.07,58,99,10.89,overcast clouds
285,Sola,VU,-13.8833,167.55,77.92,81,52,14.18,broken clouds
286,Semirom,IR,31.4167,51.5667,75.9,13,0,5.97,clear sky
287,Salalah,OM,17.0151,54.0924,78.89,100,90,2.3,light intensity drizzle
288,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,12.66,clear sky
289,Genhe,CN,50.7833,121.5167,53.02,93,100,4.34,overcast clouds
290,Iqaluit,CA,63.7506,-68.5145,38.93,93,90,4.61,overcast clouds
291,Vila,PT,42.0304,-8.1588,63.48,65,69,5.17,broken clouds
292,Palmer,US,42.1584,-72.3287,68.85,86,75,0.0,mist
293,Molokovo,RU,58.1661,36.7628,43.97,66,26,9.04,scattered clouds
294,Taksimo,RU,56.3444,114.8794,42.44,97,100,0.51,overcast clouds
295,San Vicente De Canete,PE,-13.0751,-76.3835,60.49,88,53,3.06,broken clouds
296,Fare,PF,-16.7,-151.0167,78.48,72,11,13.24,few clouds
297,Yatou,CN,37.15,122.3833,72.12,95,100,17.74,light rain
298,Tukrah,LY,32.5341,20.5791,77.92,68,0,11.25,clear sky
299,Beruwala,LK,6.4788,79.9828,82.11,80,100,13.6,overcast clouds
300,Ust-Kuyga,RU,70.0167,135.6,54.45,73,100,18.97,overcast clouds
301,Pontianak,ID,-0.0333,109.3333,87.78,66,40,3.44,scattered clouds
302,Smithfield,US,41.922,-71.5495,69.46,97,90,3.44,mist
303,Anchorage,US,61.2181,-149.9003,55.72,90,90,1.99,moderate rain
304,College,US,64.8569,-147.8028,50.32,83,90,10.36,overcast clouds
305,Kletskaya,RU,49.3145,43.0584,55.65,53,2,9.71,clear sky
306,Zhezkazgan,KZ,47.8043,67.7144,73.44,22,0,15.19,clear sky
307,Roma,US,43.2128,-75.4557,64.65,97,75,0.0,mist
308,Jijiga,ET,9.35,42.8,67.93,66,52,22.57,broken clouds
309,Revda,RU,56.801,59.9303,50.81,46,53,11.74,broken clouds
310,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,17.27,broken clouds
311,Saint-Paul,RE,-21.0096,55.2707,76.73,61,4,2.98,clear sky
312,Priargunsk,RU,50.3691,119.1012,58.28,51,100,5.32,overcast clouds
313,Port Macquarie,AU,-31.4333,152.9167,66.16,45,5,20.71,clear sky
314,Kahului,US,20.8947,-156.47,78.82,61,40,13.8,light rain
315,Madang,PG,-5.2246,145.7966,83.53,77,86,8.19,overcast clouds
316,Malakal,SS,9.5334,31.6605,73.94,84,99,3.0,overcast clouds
317,Port Augusta,AU,-32.5,137.7667,70.7,48,0,13.89,clear sky
318,Pochutla,MX,15.7432,-96.4661,78.82,93,96,3.29,overcast clouds
319,Constitucion,CL,-35.3333,-72.4167,49.51,88,82,4.23,broken clouds
320,Nara,JP,34.6851,135.8049,87.12,54,85,8.14,overcast clouds
321,Faya,SA,18.3851,42.4509,72.12,24,12,4.09,few clouds
322,Skibbereen,IE,51.55,-9.2667,60.6,97,77,3.33,broken clouds
323,Turukhansk,RU,65.8167,87.9833,63.66,44,100,19.51,overcast clouds
324,Clyde River,CA,70.4692,-68.5914,30.24,87,100,4.47,overcast clouds
325,Lata,PT,40.1629,-8.3327,68.81,62,95,3.42,overcast clouds
326,Lewisporte,CA,49.2499,-55.0482,49.71,94,83,4.07,broken clouds
327,Maragogi,BR,-9.0122,-35.2225,75.16,74,36,5.7,scattered clouds
328,Kafanchan,NG,9.5833,8.3,67.71,98,93,5.17,overcast clouds
329,San Cristobal,VE,7.7669,-72.225,64.8,96,85,1.05,overcast clouds
330,Middleton,GB,53.55,-2.2,61.88,92,100,1.59,overcast clouds
331,Bilibino,RU,68.0546,166.4372,31.01,98,100,13.51,snow
332,Gamba,GA,-2.65,10.0,74.64,75,99,4.68,overcast clouds
333,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,88,75,14.67,broken clouds
334,Topolobampo,MX,25.6,-109.05,80.06,76,29,2.3,scattered clouds
335,Ulladulla,AU,-35.35,150.4667,64.76,55,2,15.73,clear sky
336,Zhigansk,RU,66.7697,123.3711,58.84,40,27,9.26,scattered clouds
337,Ivnya,RU,51.0629,36.1343,52.3,60,41,4.61,scattered clouds
338,Mataram,ID,-8.5833,116.1167,88.61,60,86,2.26,overcast clouds
339,Ponta Delgada,PT,37.7333,-25.6667,68.72,77,20,8.05,few clouds
340,Punta Cardon,VE,11.6581,-70.215,81.68,81,75,21.77,broken clouds
341,Georgetown,MY,5.4112,100.3354,87.75,62,20,6.91,few clouds
342,Ardakan,IR,32.31,54.0175,86.38,10,0,9.53,clear sky
343,Chalus,IR,36.655,51.4204,74.66,88,90,4.61,overcast clouds
344,Cervo,ES,43.6702,-7.4101,63.19,64,61,7.87,broken clouds
345,Waingapu,ID,-9.6567,120.2641,86.92,55,95,19.44,overcast clouds
